method,name,period,distance
Transit,Lupus-TR-3 b,3.91405,2000
Transit,LHS 1140 b,24.73712,12.47
Transit,KOI-1257 b,86.647661,900
Transit,KOI-351 i,14.44912,780
Transit,KOI-351 h,331.60059,780
Transit,KOI-351 g,210.60697,780
Transit,KOI-351 f,124.9144,780
Transit,KOI-351 e,91.93913,780
Transit,KOI-351 d,59.73667,780
Transit,KOI-351 c,8.719375,780
Transit,KOI-351 b,7.008151,780
Transit,KOI-217 b,3.90512,800
Transit,KOI-142 b,10.95416,339
Transit,KOI-94 e,54.32031,462
Transit,KOI-94 d,22.342989,462
Transit,KOI-94 c,10.423648,462
Transit,KOI-94 b,3.743208,462
Transit,KOI-13 b,1.763588,415
Transit,KOI-12 b,17.85523,426
Transit,KIC 5437945 b,440.7813,848
Transit,Kepler-1655 b,11.8728787,230.59
Transit,Kepler-1653 b,140.2524,755
Transit,Kepler-1652 b,38.09722,252
Transit,Kepler-1651 b,9.87863917,69.4
Transit,Kepler-1650 b,1.53818001,120.5
Transit,Kepler-1646 b,4.48558383,81
Transit,Kepler-1645 b,16.1779561,844
Transit,Kepler-1644 b,21.0907758,592
Transit,Kepler-1643 b,5.34264507,414
Transit,Kepler-1642 c,6.6513802,447
Transit,Kepler-1642 b,12.2057513,447
Transit,Kepler-1641 c,32.657212,961
Transit,Kepler-1641 b,19.672266,961
Transit,Kepler-1640 b,7.5844126,1379
Transit,Kepler-1639 b,9.878482,1168
Transit,Kepler-1638 b,259.33683,879
Transit,Kepler-1637 b,6.10960324,506
Transit,Kepler-1636 b,425.47785,1567
Transit,Kepler-1635 b,469.63111,1084
Transit,Kepler-1634 b,374.876239,654
Transit,Kepler-1633 b,186.404271,811
Transit,Kepler-1632 b,448.303558,584
Transit,Kepler-1631 b,4.09513932,1190
Transit,Kepler-1630 b,509.997402,278
Transit,Kepler-1629 b,3.87595807,390
Transit,Kepler-1628 b,76.378033,352
Transit,Kepler-1627 b,7.20283653,311
Transit,Kepler-1626 b,4.13962966,1718
Transit,Kepler-1625 b,287.378949,1213
Transit,Kepler-1624 b,3.29030452,199
Transit,Kepler-1623 b,4.36128348,986
Transit,Kepler-1622 b,10.8118737,927
Transit,Kepler-1621 b,92.263714,1461
Transit,Kepler-1620 b,101.951829,773
Transit,Kepler-1619 b,23.6225913,520
Transit,Kepler-1618 b,6.10826019,1238
Transit,Kepler-1617 b,27.4785572,813
Transit,Kepler-1616 b,6.76284377,862
Transit,Kepler-1615 b,47.3126192,940
Transit,Kepler-1614 b,3.9466141,982
Transit,Kepler-1613 b,1.5184299,855
Transit,Kepler-1612 b,3.91795101,837
Transit,Kepler-1611 b,5.1762429,686
Transit,Kepler-1610 b,8.70181574,1063
Transit,Kepler-1609 b,114.34219,1483
Transit,Kepler-1608 b,16.4735686,832
Transit,Kepler-1607 b,13.6473676,735
Transit,Kepler-1606 b,196.435224,880
Transit,Kepler-1605 b,85.7565495,224
Transit,Kepler-1604 b,0.68368426,562
Transit,Kepler-1603 b,2.27163926,1751
Transit,Kepler-1602 b,11.17931605,815
Transit,Kepler-1601 b,2.20921951,660
Transit,Kepler-1600 b,386.370548,992
Transit,Kepler-1599 b,122.363553,1004
Transit,Kepler-1598 b,4.34195123,734
Transit,Kepler-1597 b,2.94654179,1255
Transit,Kepler-1596 b,66.373379,1166
Transit,Kepler-1595 b,4.56380468,841
Transit,Kepler-1594 b,2.71603809,1100
Transit,Kepler-1593 b,174.509835,755
Transit,Kepler-1592 b,3.05710069,1349
Transit,Kepler-1591 b,8.18504949,1090
Transit,Kepler-1590 b,7.61760804,900
Transit,Kepler-1589 b,0.99166527,1418
Transit,Kepler-1588 b,7.84931739,658
Transit,Kepler-1587 b,9.4060467,907
Transit,Kepler-1586 b,15.6049212,864
Transit,Kepler-1585 b,3.5827463,1269
Transit,Kepler-1584 b,13.3997099,1325
Transit,Kepler-1583 b,9.32807355,357
Transit,Kepler-1582 b,4.83817712,112
Transit,Kepler-1581 b,6.28385491,443
Transit,Kepler-1580 b,56.6449279,872
Transit,Kepler-1579 b,0.84990789,466
Transit,Kepler-1578 b,1.45088691,1016
Transit,Kepler-1577 b,6.30560247,543
Transit,Kepler-1576 b,6.98471973,539
Transit,Kepler-1575 b,2.55314213,1170
Transit,Kepler-1574 b,6.9424334,1275
Transit,Kepler-1573 b,2.6157554,1180
Transit,Kepler-1572 b,5.49548621,600
Transit,Kepler-1571 b,3.38555488,802
Transit,Kepler-1570 b,26.548955,463
Transit,Kepler-1569 b,5.79180156,1050
Transit,Kepler-1568 b,20.925392,883
Transit,Kepler-1567 b,153.979578,1226
Transit,Kepler-1566 b,0.53991524,511
Transit,Kepler-1565 b,1.53818844,657
Transit,Kepler-1564 b,18.0540381,872
Transit,Kepler-1563 b,3.43276598,547
Transit,Kepler-1562 b,64.2737752,1315
Transit,Kepler-1561 b,1.00520701,993
Transit,Kepler-1560 b,3.03195744,529
Transit,Kepler-1559 b,0.97191543,580
Transit,Kepler-1558 b,3.50470358,343
Transit,Kepler-1557 b,3.74032496,1532
Transit,Kepler-1556 b,8.82713457,1060
Transit,Kepler-1555 b,8.10501635,1382
Transit,Kepler-1554 b,198.088774,982
Transit,Kepler-1553 b,4.24261881,719
Transit,Kepler-1552 b,184.771853,618
Transit,Kepler-1551 b,24.4973698,1560
Transit,Kepler-1550 b,225.582809,1202
Transit,Kepler-1549 b,214.886545,792
Transit,Kepler-1548 b,124.828679,1150
Transit,Kepler-1547 b,0.69297968,665
Transit,Kepler-1546 b,19.5974971,994
Transit,Kepler-1545 b,163.692349,688
Transit,Kepler-1544 b,168.811174,349
Transit,Kepler-1543 b,6.96710269,1114
