name,mass,method
WASP-2 b,0.915,Transit
WASP-4 b,1.18,Transit
OGLE-TR-132 b,1.18,Transit
XO-1 b,0.83,Transit
XO-3 b,7.29,Transit
WASP-127 b,0.18,Transit
Qatar-1 b,1.294,Transit
WASP-135 b,1.9,Transit
WASP-5 b,1.58,Transit
NGTS-1 b,0.812,Transit
Qatar-2 b,2.494,Transit
SWEEPS-11 b,9.7,Transit
SWEEPS-4 b,3.8,Transit
Kepler-1655 b,0.01573,Transit
Kepler-37 b,0.01,Transit
Kepler-447 b,1.37,Transit
Kepler-22 b,0.113,Transit
Kepler-15 b,0.66,Transit
Kepler-408 b,0.01573,Transit
Kepler-96 b,0.027,Transit
Kepler-95 b,0.041,Transit
Kepler-98 b,0.011,Transit
Kepler-99 b,0.019,Transit
Kepler-422 b,0.43,Transit
Kepler-434 b,2.86,Transit
Kepler-409 b,0.06922,Transit
Kepler-44 b,1,Transit
Kepler-75 b,10.1,Transit
Kepler-93 b,0.01,Transit
Kepler-113 b,0.037,Transit
Kepler-131 b,0.051,Transit
Kepler-406 b,0.02,Transit
Kepler-407 b,0.01007,Transit
Kepler-424 b,1.03,Transit
Kepler-97 b,0.011,Transit
Kepler-94 b,0.034,Transit
Kepler-109 b,0.02297,Transit
Kepler-539 b,0.97,Transit
Kepler-539 c,2.4,Transit
Kepler-406 c,0.009,Transit
Kepler-113 c,0.02737,Transit
Kepler-131 c,0.026,Transit
Kepler-109 c,0.06859,Transit
Kepler-100 b,0.023,Transit
Kepler-100 c,0.02218,Transit
Kepler-100 d,0.00944,Transit
KOI-94 b,0.033,Transit
Kepler-106 b,0.01668,Transit
Kepler-106 c,0.033,Transit
Kepler-37 c,0.03776,Transit
Kepler-106 d,0.02549,Transit
Kepler-48 d,0.025,Transit
Kepler-106 e,0.035,Transit
Kepler-62 b,0.03,Transit
Kepler-102 b,0.01353,Transit
Kepler-62 c,0.013,Transit
Kepler-102 c,0.00944,Transit
Kepler-62 d,0.044,Transit
Kepler-102 d,0.012,Transit
Kepler-62 e,0.113,Transit
Kepler-102 e,0.028,Transit
Kepler-62 f,0.11,Transit
Kepler-102 f,0.01636,Transit
Kepler-423 b,0.595,Transit
Kepler-418 b,1.1,Transit
Kepler-428 b,1.27,Transit
Kepler-425 b,0.25,Transit
Kepler-426 b,0.34,Transit
Kepler-427 b,0.29,Transit
Kepler-39 b,20.1,Transit
Kepler-63 b,0.378,Transit
KOI-1257 b,1.45,Transit
Kepler-74 b,0.63,Transit
Kepler-45 b,0.505,Transit
Kepler-4 b,0.077,Transit
Kepler-454 b,0.02,Transit
Kepler-68 b,0.02,Transit
Kepler-68 c,0.02265,Transit
Kepler-432 b,5.41,Transit
Kepler-20 b,0.03052,Transit
Kepler-20 c,0.04012,Transit
Kepler-20 d,0.03168,Transit
WASP-43 b,1.78,Transit
Kepler-9 c,0.171,Transit
Kepler-19 b,0.02643,Transit
Kepler-9 b,0.252,Transit
Kepler-25 b,0.0302,Transit
Kepler-18 b,0.022,Transit
Kepler-25 c,0.0774,Transit
Kepler-18 c,0.054,Transit
Kepler-18 d,0.052,Transit
Kepler-48 b,0.0124,Transit
Kepler-48 c,0.04597,Transit
Kepler-37 d,0.03839,Transit
KOI-94 c,0.049,Transit
KOI-94 d,0.334,Transit
KOI-94 e,0.11,Transit
KOI-142 b,0.027,Transit
Kepler-10 c,0.054,Transit
Kepler-11 b,0.006,Transit
Kepler-11 c,0.009,Transit
Kepler-11 d,0.023,Transit
Kepler-11 e,0.025,Transit
Kepler-11 f,0.006,Transit
Kepler-11 g,0.079,Transit
Kepler-91 b,0.81,Transit
WASP-12 b,1.31,Transit
TrES-2 b,1.49,Transit
Kepler-43 b,3.23,Transit
Kepler-5 b,2.111,Transit
Kepler-6 b,0.668,Transit
Kepler-7 b,0.441,Transit
Kepler-41 b,0.56,Transit
Kepler-78 b,0.01,Transit
Kepler-77 b,0.43,Transit
Kepler-12 b,0.432,Transit
Kepler-8 b,0.59,Transit
Kepler-10 b,0.0145,Transit
Kepler-17 b,2.45,Transit
Kepler-412 b,0.941,Transit
Kepler-1647 b,1.51968,Transit
Kepler-38 b,0.384,Transit
Kepler-413 b,0.211,Transit
Kepler-453 b,0.05034,Transit
Kepler-34 b,0.22,Transit
Kepler-35 b,0.127,Transit
Kepler-16 b,0.333,Transit
Kepler-47 b,2,Transit
Kepler-47 c,28,Transit
KELT-4 A b,0.902,Transit
K2-95 b,0.03458,Transit
WASP-85 A b,1.265,Transit
K2-77 b,1.9,Transit
K2-66 b,0.06702,Transit
K2-60 b,0.426,Transit
TRAPPIST-1 b,0.00267,Transit
TRAPPIST-1 c,0.00434,Transit
TRAPPIST-1 d,0.00129,Transit
TRAPPIST-1 e,0.00195,Transit
TRAPPIST-1 f,0.00214,Transit
TRAPPIST-1 g,0.00422,Transit
WASP-28 b,0.907,Transit
WASP-157 b,0.574,Transit
WASP-151 b,0.31,Transit
WASP-75 b,1.07,Transit
K2-97 b,1.1,Transit
K2-98 b,0.10131,Transit
WASP-47 e,0.02863,Transit
WASP-47 b,1.21,Transit
WASP-47 d,0.05286,Transit
Kepler-415 b,0.377,Transit Timing Variations
Kepler-416 b,0.183,Transit Timing Variations
Kepler-417 b,0.035,Transit Timing Variations
Kepler-414 b,0.011,Transit Timing Variations
Kepler-414 c,0.094,Transit Timing Variations
Kepler-19 c,0.04122,Transit Timing Variations
KOI-142 c,0.626,Transit Timing Variations
