method,method_index,name,period,distance
Radial Velocity,7,HIP 12961 b,57,24
Radial Velocity,7,HIP 14810 b,7,53
Radial Velocity,7,HIP 14810 c,148,53
Radial Velocity,7,HIP 14810 d,952,53
Radial Velocity,7,HIP 57274 b,8,26
Radial Velocity,7,HIP 57274 c,32,26
Radial Velocity,7,HIP 57274 d,432,26
Radial Velocity,7,HIP 63242 b,125,149
Radial Velocity,7,HIP 65407 b,28,56
Radial Velocity,7,HIP 65407 c,67,56
Radial Velocity,7,HIP 65891 b,1,085,136
Radial Velocity,7,HIP 67537 b,2,557,113
Radial Velocity,7,HIP 67851 b,89,66
Radial Velocity,7,HIP 67851 c,2,132,66
Radial Velocity,7,HIP 70849 b,17,338,24
Radial Velocity,7,HIP 74890 b,822,91
Radial Velocity,7,HIP 75458 b,511,31
Radial Velocity,7,HIP 79431 b,112,15
Radial Velocity,7,HIP 91258 b,5,44
Radial Velocity,7,HIP 97233 b,1,059,107
Radial Velocity,7,HIP 105854 b,184,85
Radial Velocity,7,HIP 107773 b,144,104
Radial Velocity,7,HIP 109384 b,499,56
Radial Velocity,7,HIP 109600 b,232,59
Radial Velocity,7,HR 810 b,303,17
Radial Velocity,7,K2-18 c,9,34
Radial Velocity,7,kap CrB b,1,262,31
Radial Velocity,7,Kapteyn c,122,4
Radial Velocity,7,KELT-6 c,1,276,222
Radial Velocity,7,Kepler-19 d,63,2,119
Radial Velocity,7,Kepler-20 g,35,290
Radial Velocity,7,Kepler-25 d,123,254
Radial Velocity,7,Kepler-56 d,1,002,914
Radial Velocity,7,Kepler-68 d,625,135
Radial Velocity,7,Kepler-94 c,820,191
Radial Velocity,7,Kepler-97 c,789,393
Radial Velocity,7,Kepler-432 c,406,870
Radial Velocity,7,Kepler-454 c,524,233
Radial Velocity,7,mu Leo b,358,41
Radial Velocity,7,NGC 2682 Sand 364 b,122,1,694
Radial Velocity,7,NGC 2682 Sand 978 b,511,629
Radial Velocity,7,NGC 4349 127 b,678,2,200
Radial Velocity,7,nu Oph b,530,47
Radial Velocity,7,nu Oph c,3,186,47
Radial Velocity,7,ome Ser b,277,81
Radial Velocity,7,omi CrB b,188,84
Radial Velocity,7,omi UMa b,1,630,56
Radial Velocity,7,Pr0201 b,4,177
Radial Velocity,7,Proxima Cen b,11,1
Radial Velocity,7,psi 1 Dra B b,3,117,22
Radial Velocity,7,rho CrB b,40,17
Radial Velocity,7,rho CrB c,103,17
Radial Velocity,7,Ross 128 b,10,3
Radial Velocity,7,TAP 26 b,11,147
Radial Velocity,7,tau Boo b,3,16
Radial Velocity,7,tau Cet e,163,4
Radial Velocity,7,tau Cet f,636,4
Radial Velocity,7,tau Cet g,20,4
Radial Velocity,7,tau Cet h,49,4
Radial Velocity,7,tau Gem b,306,93
Radial Velocity,7,TYC 1422-614-1 b,198,759
Radial Velocity,7,TYC 1422-614-1 c,559,759
Radial Velocity,7,TYC 3318-01333-1 b,562,555
Radial Velocity,7,TYC 3667-1280-1 b,26,481
Radial Velocity,7,TYC 4282-00605-1 b,102,700
Radial Velocity,7,ups And b,5,13
Radial Velocity,7,ups And c,241,13
Radial Velocity,7,ups And d,1,276,13
Radial Velocity,7,V830 Tau b,5,150
Radial Velocity,7,WASP-8 c,4,323,87
Radial Velocity,7,WASP-41 c,421,180
Radial Velocity,7,WASP-47 c,581,200
Radial Velocity,7,WASP-94 B b,2,180
Radial Velocity,7,Wolf 1061 b,5,4
Radial Velocity,7,Wolf 1061 c,18,4
Radial Velocity,7,Wolf 1061 d,217,4
Radial Velocity,7,xi Aql b,137,63
Radial Velocity,7,XO-2 S b,18,148
Radial Velocity,7,XO-2 S c,121,148
Radial Velocity,7,YZ Cet b,2,4
Radial Velocity,7,YZ Cet c,3,4
Radial Velocity,7,YZ Cet d,5,4
Transit,8,CoRoT-2 b,2,200
Transit,8,CoRoT-3 b,4,680
Transit,8,CoRoT-7 b,1,154
Transit,8,CoRoT-8 b,6,380
Transit,8,CoRoT-9 b,95,460
Transit,8,CoRoT-10 b,13,345
Transit,8,CoRoT-11 b,3,560
Transit,8,CoRoT-12 b,3,1,150
Transit,8,CoRoT-13 b,4,1,060
Transit,8,CoRoT-14 b,2,1,340
Transit,8,CoRoT-16 b,5,840
Transit,8,CoRoT-17 b,4,920
Transit,8,CoRoT-18 b,2,870
Transit,8,CoRoT-19 b,4,770
Transit,8,CoRoT-20 b,9,1,230
Transit,8,CoRoT-22 b,10,592
Transit,8,CoRoT-23 b,4,600
Transit,8,CoRoT-24 b,5,600
Transit,8,CoRoT-24 c,12,600
Transit,8,CoRoT-25 b,5,1,000
Transit,8,CoRoT-26 b,4,1,670
Transit,8,CoRoT-28 b,5,560
Transit,8,CoRoT-29 b,3,765
Transit,8,EPIC 211945201 b,19,183
Transit,8,GJ 1132 b,2,12
Transit,8,GJ 1214 b,2,13
Transit,8,GJ 9827 b,1,30
Transit,8,GJ 9827 c,4,30
Transit,8,GJ 9827 d,6,30
Transit,8,HAT-P-1 b,4,139
Transit,8,HAT-P-2 b,6,135
Transit,8,HAT-P-3 b,3,138
Transit,8,HAT-P-4 b,3,314
Transit,8,HAT-P-5 b,3,340
Transit,8,HAT-P-6 b,4,261
Transit,8,HAT-P-7 b,2,320
Transit,8,HAT-P-8 b,3,230
Transit,8,HAT-P-9 b,4,480
Transit,8,HAT-P-11 b,5,38
Transit,8,HAT-P-12 b,3,143
Transit,8,HAT-P-13 b,3,214
Transit,8,HAT-P-14 b,5,205
Transit,8,HAT-P-15 b,11,190
Transit,8,HAT-P-16 b,3,235
Transit,8,HAT-P-17 b,10,90
Transit,8,HAT-P-18 b,6,166
Transit,8,HAT-P-19 b,4,215
Transit,8,HAT-P-20 b,3,70
Transit,8,HAT-P-21 b,4,254
Transit,8,HAT-P-22 b,3,82
Transit,8,HAT-P-23 b,1,393
Transit,8,HAT-P-24 b,3,396
Transit,8,HAT-P-25 b,4,297
Transit,8,HAT-P-26 b,4,134
Transit,8,HAT-P-27 b,3,204
Transit,8,HAT-P-28 b,3,395
Transit,8,HAT-P-29 b,6,322
Transit,8,HAT-P-30 b,3,193
Transit,8,HAT-P-31 b,5,354
Transit,8,HAT-P-32 b,2,283
Transit,8,HAT-P-33 b,3,387
Transit,8,HAT-P-34 b,5,257
Transit,8,HAT-P-35 b,4,535
Transit,8,HAT-P-36 b,1,317
Transit,8,HAT-P-37 b,3,411
Transit,8,HAT-P-38 b,5,249
Transit,8,HAT-P-39 b,4,642
Transit,8,HAT-P-40 b,4,501
Transit,8,HAT-P-41 b,3,344
Transit,8,HAT-P-42 b,5,447
Transit,8,HAT-P-43 b,3,542
Transit,8,HAT-P-44 b,4,363
Transit,8,HAT-P-45 b,3,305
Transit,8,HAT-P-46 b,4,296
Transit,8,HAT-P-49 b,3,322
Transit,8,HAT-P-50 b,3,497
Transit,8,HAT-P-51 b,4,470
Transit,8,HAT-P-52 b,3,385
Transit,8,HAT-P-53 b,2,719
Transit,8,HAT-P-55 b,4,480
Transit,8,HAT-P-56 b,3,311
Transit,8,HAT-P-57 b,2,303
Transit,8,HAT-P-65 b,3,841
Transit,8,HAT-P-66 b,3,927
Transit,8,HAT-P-67 b,5,320
Transit,8,HATS-1 b,3,303
Transit,8,HATS-2 b,1,360
Transit,8,HATS-3 b,4,453
Transit,8,HATS-4 b,3,420
Transit,8,HATS-5 b,5,257
Transit,8,HATS-6 b,3,148
Transit,8,HATS-7 b,3,257
Transit,8,HATS-8 b,4,829
Transit,8,HATS-9 b,2,622
Transit,8,HATS-10 b,3,496
Transit,8,HATS-13 b,3,476
Transit,8,HATS-14 b,3,513
Transit,8,HATS-15 b,2,689
Transit,8,HATS-16 b,3,774
Transit,8,HATS-17 b,16,339
Transit,8,HATS-18 b,1,645
Transit,8,HATS-22 b,5,208
Transit,8,HATS-23 b,2,747
Transit,8,HATS-24 b,1,510
Transit,8,HATS-25 b,4,466
Transit,8,HATS-26 b,3,907
Transit,8,HATS-27 b,5,840
Transit,8,HATS-28 b,3,521
Transit,8,HATS-29 b,5,351
Transit,8,HATS-30 b,3,339
Transit,8,HATS-31 b,3,872
Transit,8,HATS-32 b,3,839
Transit,8,HATS-33 b,3,255
Transit,8,HATS-34 b,2,532
Transit,8,HATS-35 b,2,557
Transit,8,HATS-36 b,4,962
Transit,8,HATS-39 b,5,773
Transit,8,HATS-40 b,3,1,431
Transit,8,HATS-41 b,4,800
Transit,8,HATS-42 b,2,942
Transit,8,HATS-43 b,4,341
Transit,8,HATS-44 b,3,463
Transit,8,HATS-45 b,4,818
Transit,8,HATS-46 b,5,448
Transit,8,HATS-50 b,4,717
Transit,8,HATS-51 b,3,478
Transit,8,HATS-52 b,1,631
Transit,8,HATS-53 b,4,613
Transit,8,HD 3167 b,1,46
Transit,8,HD 3167 c,30,46
Transit,8,HD 89345 b,12,127
Transit,8,HIP 41378 b,16,116
Transit,8,HIP 41378 c,32,116
Transit,8,HIP 41378 d,156,116
Transit,8,HIP 41378 e,131,116
Transit,8,HIP 41378 f,324,116
Transit,8,HIP 116454 b,9,55
Transit,8,K2-18 b,33,34
Transit,8,K2-65 b,13,78
Transit,8,K2-116 b,5,56
Transit,8,K2-117 b,1,100
Transit,8,K2-117 c,5,100
Transit,8,K2-122 b,2,74
Transit,8,K2-123 b,31,156
Transit,8,K2-138 b,2,183
Transit,8,K2-138 c,4,183
Transit,8,K2-138 d,5,183
Transit,8,K2-138 e,8,183
Transit,8,K2-138 f,13,183
Transit,8,K2-139 b,28,152
Transit,8,K2-140 b,7,340
Transit,8,K2-141 b,0,59
Transit,8,K2-141 c,8,59
Transit,8,K2-146 b,3,86
Transit,8,K2-147 b,1,88
Transit,8,K2-148 b,4,121
Transit,8,K2-148 c,7,121
Transit,8,K2-148 d,10,121
Transit,8,K2-149 b,11,118
Transit,8,K2-150 b,11,110
Transit,8,K2-151 b,4,63
Transit,8,K2-152 b,33,112
Transit,8,K2-153 b,8,126
Transit,8,K2-154 b,4,133
Transit,8,K2-154 c,8,133
Transit,8,K2-155 b,6,82
Transit,8,K2-155 c,14,82
Transit,8,K2-155 d,41,82
Transit,8,K2-167 b,10,78
Transit,8,K2-229 b,1,104
Transit,8,K2-229 c,8,104
Transit,8,K2-231 b,14,295
Transit,8,K2-232 b,11,130
Transit,8,K2-233 b,2,69
Transit,8,K2-233 c,7,69
Transit,8,K2-233 d,24,69
Transit,8,KELT-1 b,1,262
Transit,8,KELT-2 A b,4,124
Transit,8,KELT-3 b,3,178
Transit,8,KELT-4 A b,3,210
Transit,8,KELT-6 b,8,222
Transit,8,KELT-7 b,3,129
Transit,8,KELT-8 b,3,236
Transit,8,KELT-9 b,1,189
Transit,8,KELT-10 b,4,183
Transit,8,KELT-11 b,5,98
Transit,8,KELT-12 b,5,360
Transit,8,KELT-14 b,2,266
Transit,8,KELT-15 b,3,291
Transit,8,KELT-16 b,1,395
Transit,8,KELT-17 b,3,210
Transit,8,KELT-18 b,3,311
Transit,8,KELT-19 A b,5,292
Transit,8,KELT-20 b,3,140
Transit,8,KELT-21 b,4,415
Transit,8,Kepler-4 b,3,550
Transit,8,Kepler-5 b,4,898
Transit,8,Kepler-6 b,3,590
Transit,8,Kepler-7 b,5,907
Transit,8,Kepler-8 b,4,1,330
Transit,8,Kepler-9 b,19,650
Transit,8,Kepler-9 c,39,650
Transit,8,Kepler-9 d,2,650
Transit,8,Kepler-10 b,1,173
Transit,8,Kepler-10 c,45,173
Transit,8,Kepler-11 b,10,613
Transit,8,Kepler-11 c,13,613
Transit,8,Kepler-11 d,23,613
Transit,8,Kepler-11 e,32,613
Transit,8,Kepler-11 f,47,613
Transit,8,Kepler-11 g,118,613
Transit,8,Kepler-12 b,4,600
Transit,8,Kepler-14 b,7,980
Transit,8,Kepler-15 b,5,598
Transit,8,Kepler-16 b,229,61
Transit,8,Kepler-17 b,1,800
Transit,8,Kepler-18 b,4,507
Transit,8,Kepler-18 c,8,507
Transit,8,Kepler-18 d,15,507
Transit,8,Kepler-19 b,9,2,119
Transit,8,Kepler-20 b,4,290
Transit,8,Kepler-20 c,11,290
Transit,8,Kepler-20 d,78,290
Transit,8,Kepler-20 e,6,290
Transit,8,Kepler-20 f,20,290
Transit,8,Kepler-21 b,3,113
Transit,8,Kepler-22 b,290,190
Transit,8,Kepler-23 b,7,800
Transit,8,Kepler-23 c,11,800
Transit,8,Kepler-23 d,15,800
Transit,8,Kepler-24 b,8,1,200
Transit,8,Kepler-24 c,12,1,200
Transit,8,Kepler-24 d,4,1,200
Transit,8,Kepler-24 e,19,1,200
Transit,8,Kepler-25 b,6,254
Transit,8,Kepler-25 c,13,254
Transit,8,Kepler-26 b,12,339
Transit,8,Kepler-26 c,17,339
Transit,8,Kepler-26 d,4,339
Transit,8,Kepler-26 e,47,339
Transit,8,Kepler-27 b,15,1,140
Transit,8,Kepler-27 c,31,1,140
Transit,8,Kepler-28 b,6,472
Transit,8,Kepler-28 c,9,472
Transit,8,Kepler-29 b,10,1,400
Transit,8,Kepler-29 c,13,1,400
Transit,8,Kepler-30 b,29,1,400
Transit,8,Kepler-30 c,60,1,400
Transit,8,Kepler-30 d,143,1,400
Transit,8,Kepler-31 b,21,2,100
Transit,8,Kepler-31 c,43,2,100
Transit,8,Kepler-31 d,88,2,100
Transit,8,Kepler-32 b,6,303
Transit,8,Kepler-32 c,9,303
Transit,8,Kepler-32 d,23,303
Transit,8,Kepler-32 e,3,303
Transit,8,Kepler-32 f,1,303
Transit,8,Kepler-33 b,6,1,113
Transit,8,Kepler-33 c,13,1,113
Transit,8,Kepler-33 d,22,1,113
Transit,8,Kepler-33 e,32,1,113
Transit,8,Kepler-33 f,41,1,113
Transit,8,Kepler-34 b,289,1,499
Transit,8,Kepler-35 b,131,1,645
Transit,8,Kepler-36 b,14,470
Transit,8,Kepler-36 c,16,470
Transit,8,Kepler-37 b,13,66
Transit,8,Kepler-37 c,21,66
Transit,8,Kepler-37 d,40,66
Transit,8,Kepler-38 b,106,600
Transit,8,Kepler-39 b,21,1,200
Transit,8,Kepler-40 b,7,2,700
Transit,8,Kepler-41 b,2,770
Transit,8,Kepler-42 b,1,39
Transit,8,Kepler-42 c,0,39
Transit,8,Kepler-42 d,2,39
Transit,8,Kepler-43 b,3,1,950
Transit,8,Kepler-44 b,3,2,250
Transit,8,Kepler-45 b,2,333
Transit,8,Kepler-46 b,34,855
Transit,8,Kepler-46 d,7,855
Transit,8,Kepler-47 b,50,1,500
Transit,8,Kepler-47 c,303,1,500
Transit,8,Kepler-49 b,7,306
Transit,8,Kepler-49 c,11,306
Transit,8,Kepler-49 d,3,306
Transit,8,Kepler-49 e,19,306
Transit,8,Kepler-50 b,8,255
Transit,8,Kepler-50 c,9,255
Transit,8,Kepler-51 b,45,1,013
Transit,8,Kepler-51 c,85,1,013
Transit,8,Kepler-51 d,130,1,013
Transit,8,Kepler-52 b,8,336
Transit,8,Kepler-52 c,16,336
Transit,8,Kepler-52 d,36,336
Transit,8,Kepler-53 b,19,1,235
Transit,8,Kepler-53 c,39,1,235
Transit,8,Kepler-53 d,10,1,235
Transit,8,Kepler-54 b,8,234
Transit,8,Kepler-54 c,12,234
Transit,8,Kepler-54 d,21,234
Transit,8,Kepler-55 b,28,568
Transit,8,Kepler-55 c,42,568
Transit,8,Kepler-55 d,2,568
Transit,8,Kepler-55 e,5,568
Transit,8,Kepler-55 f,10,568
Transit,8,Kepler-56 b,11,914
Transit,8,Kepler-56 c,21,914
Transit,8,Kepler-57 b,6,674
Transit,8,Kepler-57 c,12,674
Transit,8,Kepler-58 b,10,1,562
Transit,8,Kepler-58 c,16,1,562
Transit,8,Kepler-58 d,40,1,562
Transit,8,Kepler-59 b,12,1,021
Transit,8,Kepler-59 c,18,1,021
Transit,8,Kepler-60 b,7,899
Transit,8,Kepler-60 c,9,899
Transit,8,Kepler-60 d,12,899
Transit,8,Kepler-61 b,60,314
Transit,8,Kepler-62 b,6,368
Transit,8,Kepler-62 c,12,368
Transit,8,Kepler-62 d,18,368
Transit,8,Kepler-62 e,122,368
Transit,8,Kepler-62 f,267,368
Transit,8,Kepler-63 b,9,200
Transit,8,Kepler-65 b,2,291
Transit,8,Kepler-65 c,6,291
Transit,8,Kepler-65 d,8,291
Transit,8,Kepler-66 b,18,1,107
Transit,8,Kepler-67 b,16,1,107
Transit,8,Kepler-68 b,5,135
Transit,8,Kepler-68 c,10,135
Transit,8,Kepler-69 b,14,584
Transit,8,Kepler-69 c,242,584
Transit,8,Kepler-74 b,7,1,330
Transit,8,Kepler-75 b,9,1,140
Transit,8,Kepler-77 b,4,570
Transit,8,Kepler-79 b,13,995
Transit,8,Kepler-79 c,27,995
Transit,8,Kepler-79 d,52,995
Transit,8,Kepler-79 e,81,995
Transit,8,Kepler-80 b,7,357
Transit,8,Kepler-80 c,10,357
Transit,8,Kepler-80 d,3,357
Transit,8,Kepler-80 e,5,357
Transit,8,Kepler-80 f,1,357
Transit,8,Kepler-80 g,15,357
Transit,8,Kepler-81 b,6,366
Transit,8,Kepler-81 c,12,366
Transit,8,Kepler-81 d,21,366
Transit,8,Kepler-82 b,26,987
Transit,8,Kepler-82 c,52,987
Transit,8,Kepler-82 d,2,987
Transit,8,Kepler-82 e,6,987
Transit,8,Kepler-83 b,10,365
Transit,8,Kepler-83 c,20,365
Transit,8,Kepler-83 d,5,365
Transit,8,Kepler-84 b,9,1,066
Transit,8,Kepler-84 c,13,1,066
Transit,8,Kepler-84 d,4,1,066
Transit,8,Kepler-84 e,27,1,066
Transit,8,Kepler-84 f,45,1,066
Transit,8,Kepler-85 b,8,789
Transit,8,Kepler-85 c,13,789
Transit,8,Kepler-85 d,18,789
Transit,8,Kepler-85 e,25,789
Transit,8,Kepler-87 b,115,1,525
Transit,8,Kepler-87 c,191,1,525
Transit,8,Kepler-91 b,6,1,030
Transit,8,Kepler-92 b,14,444
Transit,8,Kepler-92 c,27,444
Transit,8,Kepler-92 d,49,444
Transit,8,Kepler-94 b,3,191
Transit,8,Kepler-95 b,12,443
Transit,8,Kepler-96 b,16,134
Transit,8,Kepler-97 b,3,393
Transit,8,Kepler-98 b,2,390
Transit,8,Kepler-99 b,5,210
Transit,8,Kepler-100 b,7,297
Transit,8,Kepler-100 c,13,297
Transit,8,Kepler-100 d,35,297
Transit,8,Kepler-101 b,3,657
Transit,8,Kepler-101 c,6,657
Transit,8,Kepler-102 b,5,110
Transit,8,Kepler-102 c,7,110
Transit,8,Kepler-102 d,10,110
Transit,8,Kepler-102 e,16,110
Transit,8,Kepler-102 f,27,110
Transit,8,Kepler-103 b,16,485
Transit,8,Kepler-103 c,180,485
Transit,8,Kepler-104 b,11,403
Transit,8,Kepler-104 c,24,403
Transit,8,Kepler-104 d,52,403
Transit,8,Kepler-105 b,5,524
Transit,8,Kepler-105 c,7,524
Transit,8,Kepler-106 b,6,451
Transit,8,Kepler-106 c,14,451
Transit,8,Kepler-106 d,24,451
Transit,8,Kepler-106 e,44,451
Transit,8,Kepler-107 b,3,512
Transit,8,Kepler-107 c,5,512
Transit,8,Kepler-107 d,8,512
Transit,8,Kepler-107 e,15,512
Transit,8,Kepler-108 b,49,729
Transit,8,Kepler-108 c,190,729
Transit,8,Kepler-109 b,6,482
Transit,8,Kepler-109 c,21,482
Transit,8,Kepler-110 b,13,692
Transit,8,Kepler-110 c,32,692
Transit,8,Kepler-111 b,3,698
Transit,8,Kepler-111 c,225,698
Transit,8,Kepler-112 b,8,499
Transit,8,Kepler-112 c,29,499
Transit,8,Kepler-113 b,5,255
Transit,8,Kepler-113 c,9,255
Transit,8,Kepler-114 b,5,255
Transit,8,Kepler-114 c,8,255
Transit,8,Kepler-114 d,12,255
Transit,8,Kepler-115 b,2,631
Transit,8,Kepler-115 c,9,631
Transit,8,Kepler-116 b,6,987
Transit,8,Kepler-116 c,13,987
Transit,8,Kepler-117 b,19,1,430
Transit,8,Kepler-117 c,51,1,430
Transit,8,Kepler-118 b,8,577
Transit,8,Kepler-118 c,20,577
Transit,8,Kepler-119 b,2,733
Transit,8,Kepler-119 c,4,733
Transit,8,Kepler-120 b,6,376
Transit,8,Kepler-120 c,13,376
Transit,8,Kepler-121 b,3,622
Transit,8,Kepler-121 c,41,622
Transit,8,Kepler-122 b,6,946
Transit,8,Kepler-122 c,12,946
Transit,8,Kepler-122 d,22,946
Transit,8,Kepler-122 e,38,946
Transit,8,Kepler-123 b,17,934
Transit,8,Kepler-123 c,27,934
Transit,8,Kepler-124 b,3,383
Transit,8,Kepler-124 c,14,383
Transit,8,Kepler-124 d,31,383
Transit,8,Kepler-125 b,4,171
Transit,8,Kepler-125 c,6,171
Transit,8,Kepler-126 b,10,231
Transit,8,Kepler-126 c,22,231
Transit,8,Kepler-126 d,100,231
Transit,8,Kepler-127 b,14,353
Transit,8,Kepler-127 c,29,353
Transit,8,Kepler-127 d,49,353
Transit,8,Kepler-128 b,15,399
Transit,8,Kepler-128 c,23,399
Transit,8,Kepler-129 b,16,371
Transit,8,Kepler-129 c,82,371
Transit,8,Kepler-130 b,8,330
Transit,8,Kepler-130 c,28,330
Transit,8,Kepler-130 d,88,330
Transit,8,Kepler-131 b,16,235
Transit,8,Kepler-131 c,26,235
Transit,8,Kepler-132 b,6,303
Transit,8,Kepler-132 c,6,303
Transit,8,Kepler-132 d,18,303
Transit,8,Kepler-132 e,110,303
Transit,8,Kepler-133 b,8,530
Transit,8,Kepler-133 c,32,530
Transit,8,Kepler-134 b,5,369
Transit,8,Kepler-134 c,10,369
Transit,8,Kepler-135 b,6,604
Transit,8,Kepler-135 c,11,604
Transit,8,Kepler-136 b,12,366
Transit,8,Kepler-136 c,16,366
Transit,8,Kepler-137 b,8,289
Transit,8,Kepler-137 c,19,289
Transit,8,Kepler-138 b,10,52
Transit,8,Kepler-138 c,14,52
Transit,8,Kepler-138 d,23,52
Transit,8,Kepler-139 b,16,417
Transit,8,Kepler-139 c,157,417
Transit,8,Kepler-140 b,3,572
Transit,8,Kepler-140 c,91,572
Transit,8,Kepler-141 b,3,301
Transit,8,Kepler-141 c,7,301
Transit,8,Kepler-142 b,2,583
Transit,8,Kepler-142 c,5,583
Transit,8,Kepler-142 d,42,583
Transit,8,Kepler-143 b,16,746
Transit,8,Kepler-143 c,27,746
Transit,8,Kepler-144 b,6,487
Transit,8,Kepler-144 c,10,487
Transit,8,Kepler-145 b,23,577
Transit,8,Kepler-145 c,43,577
Transit,8,Kepler-146 b,31,799
Transit,8,Kepler-146 c,77,799
Transit,8,Kepler-147 b,13,902
Transit,8,Kepler-147 c,33,902
Transit,8,Kepler-148 b,2,796
Transit,8,Kepler-148 c,4,796
Transit,8,Kepler-148 d,52,796
Transit,8,Kepler-149 b,29,521
Transit,8,Kepler-149 c,55,521
Transit,8,Kepler-149 d,160,521
Transit,8,Kepler-150 b,3,927
Transit,8,Kepler-150 c,7,927
Transit,8,Kepler-150 d,13,927
Transit,8,Kepler-150 e,31,927
Transit,8,Kepler-150 f,637,927
Transit,8,Kepler-151 b,15,661
Transit,8,Kepler-151 c,25,661
Transit,8,Kepler-152 b,18,459
Transit,8,Kepler-152 c,88,459
Transit,8,Kepler-153 b,19,504
Transit,8,Kepler-153 c,47,504
Transit,8,Kepler-154 b,33,855
Transit,8,Kepler-154 c,62,855
Transit,8,Kepler-154 d,21,855
Transit,8,Kepler-154 e,4,855
Transit,8,Kepler-154 f,10,855
Transit,8,Kepler-155 b,6,293
Transit,8,Kepler-155 c,53,293
Transit,8,Kepler-156 b,5,439
Transit,8,Kepler-156 c,16,439
Transit,8,Kepler-157 b,2,749
Transit,8,Kepler-157 c,14,749
Transit,8,Kepler-157 d,7,749
Transit,8,Kepler-158 b,17,351
Transit,8,Kepler-158 c,29,351
Transit,8,Kepler-159 b,10,397
Transit,8,Kepler-159 c,44,397
Transit,8,Kepler-160 b,4,841
Transit,8,Kepler-160 c,14,841
Transit,8,Kepler-161 b,5,464
Transit,8,Kepler-161 c,7,464
Transit,8,Kepler-162 b,7,905
Transit,8,Kepler-162 c,19,905
Transit,8,Kepler-163 b,8,750
Transit,8,Kepler-163 c,21,750
Transit,8,Kepler-164 b,5,991
Transit,8,Kepler-164 c,11,991
Transit,8,Kepler-164 d,29,991
Transit,8,Kepler-165 b,8,581
Transit,8,Kepler-165 c,15,581
Transit,8,Kepler-166 b,8,655
Transit,8,Kepler-166 c,34,655
Transit,8,Kepler-166 d,2,655
Transit,8,Kepler-167 b,4,330
Transit,8,Kepler-167 c,7,330
Transit,8,Kepler-167 d,22,330
Transit,8,Kepler-167 e,1,071,330
Transit,8,Kepler-168 b,4,1,476
Transit,8,Kepler-168 c,13,1,476
Transit,8,Kepler-169 b,3,434
Transit,8,Kepler-169 c,6,434
Transit,8,Kepler-169 d,8,434
Transit,8,Kepler-169 e,14,434
Transit,8,Kepler-169 f,87,434
Transit,8,Kepler-170 b,8,743
Transit,8,Kepler-170 c,17,743
Transit,8,Kepler-171 b,4,1,026
Transit,8,Kepler-171 c,11,1,026
Transit,8,Kepler-171 d,40,1,026
Transit,8,Kepler-172 b,3,796
Transit,8,Kepler-172 c,6,796
Transit,8,Kepler-172 d,15,796
Transit,8,Kepler-172 e,35,796
Transit,8,Kepler-173 b,4,810
Transit,8,Kepler-173 c,8,810
Transit,8,Kepler-174 b,14,371
Transit,8,Kepler-174 c,44,371
Transit,8,Kepler-174 d,247,371
Transit,8,Kepler-175 b,12,1,279
Transit,8,Kepler-175 c,34,1,279
Transit,8,Kepler-176 b,5,564
Transit,8,Kepler-176 c,13,564
Transit,8,Kepler-176 d,26,564
Transit,8,Kepler-176 e,51,564
Transit,8,Kepler-177 b,37,1,068
Transit,8,Kepler-177 c,49,1,068
Transit,8,Kepler-178 b,10,741
Transit,8,Kepler-178 c,21,741
Transit,8,Kepler-178 d,97,741
Transit,8,Kepler-179 b,3,660
Transit,8,Kepler-179 c,6,660
Transit,8,Kepler-180 b,14,675
Transit,8,Kepler-180 c,42,675
Transit,8,Kepler-181 b,3,667
Transit,8,Kepler-181 c,4,667
Transit,8,Kepler-182 b,10,1,409
Transit,8,Kepler-182 c,21,1,409
Transit,8,Kepler-183 b,6,1,015
Transit,8,Kepler-183 c,12,1,015
Transit,8,Kepler-184 b,11,716
Transit,8,Kepler-184 c,20,716
Transit,8,Kepler-184 d,29,716
Transit,8,Kepler-185 b,2,511
Transit,8,Kepler-185 c,21,511
Transit,8,Kepler-186 b,4,172
Transit,8,Kepler-186 c,7,172
Transit,8,Kepler-186 d,13,172
Transit,8,Kepler-186 e,22,172
Transit,8,Kepler-186 f,130,172
Transit,8,Kepler-187 b,5,867
Transit,8,Kepler-187 c,11,867
Transit,8,Kepler-188 b,2,896
Transit,8,Kepler-188 c,6,896
Transit,8,Kepler-189 b,10,618
Transit,8,Kepler-189 c,20,618
Transit,8,Kepler-190 b,2,455
Transit,8,Kepler-190 c,4,455
Transit,8,Kepler-191 b,10,626
Transit,8,Kepler-191 c,18,626
Transit,8,Kepler-191 d,6,626
Transit,8,Kepler-192 b,10,616
Transit,8,Kepler-192 c,21,616
Transit,8,Kepler-192 d,6,616
Transit,8,Kepler-193 b,11,1,196
Transit,8,Kepler-193 c,51,1,196
Transit,8,Kepler-194 b,2,1,218
Transit,8,Kepler-194 c,17,1,218
Transit,8,Kepler-194 d,53,1,218
Transit,8,Kepler-195 b,8,649
Transit,8,Kepler-195 c,34,649
Transit,8,Kepler-196 b,21,452
Transit,8,Kepler-196 c,47,452
Transit,8,Kepler-197 b,6,341
Transit,8,Kepler-197 c,10,341
Transit,8,Kepler-197 d,16,341
Transit,8,Kepler-197 e,25,341
Transit,8,Kepler-198 b,18,512
Transit,8,Kepler-198 c,50,512
Transit,8,Kepler-198 d,1,512
Transit,8,Kepler-199 b,24,493
